ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
26,A 26,447401.773,7658088.794,18059937,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 26,8,5,4098927,A 27,SW,5; 6; 9; 10,null,<300m,null,>300m,± vertical rock,8,<3m,isolated,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,26
27,A 27,447269.899,7659286.265,1892486,Amis,,Toiwo & Shipahu,04.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 27,6,5,4098927,A 26,SE,1; 5; 6,null,>300m,TRUE,within shouting distance,unfavourable,4,<15m,isolated,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,27
28,A 28,446447.893,7659598.118,18059054,Amis,,Toiwo & Shipahu,12.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 28,26,4,1074507,A 29,SW,5; 10,null,<300m,TRUE,within shouting distance,unfavourable,4,<15m,isolated,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,28
29,A 29,446007.128,7659719.610,17987778,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 29,86,3,998572,A 45,SE,3; 5; 6; 7; 10,null,<300m,TRUE,within shouting distance,unfavourable,11,<3m,marginal,magnificent,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,,29
30,A 30,446909.610,7659261.884,17856353,Amis,,Camby´s Rock,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 30,47,4,953227,A 45,N,5,null,within shouting distance,TRUE,within shouting distance,unfavourable,7,<15m,central,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,30
31,A 31,446775.238,7658226.780,17817977,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 31,113,3,3034665,A 32,E,6; 12,null,>300m,null,<300m,spacious,23,<3m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,31
32,A 32,446960.437,7659833.296,18480486,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 32,26,4,636806,A 33,S,3; 4; 5; 7; 12,null,within shouting distance,null,adjacent,unfavourable,9,>15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,32
33,A 33,446476.262,7659513.919,18430955,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 33,4,6,636806,A 32,SW,5,null,<300m,null,adjacent,unfavourable,3,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,33
34,A 34,446426.427,7659458.436,18882946,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 34,309,2,848758,A 35,S,1; 5; 6; 7; 8; 9; 10; 11; 12,null,>300m,null,adjacent,spacious,8,<15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,34
35,A 35,446500.745,7659049.257,18854842,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 35,95,3,848758,A 34,SE,1; 5; 6; 7; 9; 10; 12,null,>300m,TRUE,within shouting distance,unfavourable,14,>15m,marginal,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,35
36,A 36,446230.152,7659866.239,19058858,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 36,7,5,1377191,A 37,E,8,null,>300m,null,adjacent,unfavourable,12,>15m,isolated,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,36
37,A 37,446032.935,7659866.724,19510182,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 37,28,4,318709,A 38,SE,1; 7; 8; 12,null,>300m,null,within shouting distance,± vertical rock,3,>15m,isolated,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,37
38,A 38,446563.379,7659886.768,19476826,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 38,513,1,318709,A 37,N,5; 6; 7; 8; 12,null,>300m,TRUE,within shouting distance,spacious,6,>15m,marginal,poor,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,,38
39,A 39,446115.232,7659946.567,19585046,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 39,10,5,712741,A 38,E,5,null,>300m,TRUE,within shouting distance,unfavourable,4,<15m,marginal,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,39
40,A 40,446534.941,7659824.580,19766327,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 40,74,3,578163,A 41,E,4; 5; 11,null,>300m,null,adjacent,spacious,9,<15m,isolated,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,40
41,A 41,445741.132,7659239.154,19839992,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 41,24,4,578163,A 40,E; SW,1; 5; 10; 11; 12,null,>300m,null,adjacent,unfavourable,2,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,41
42,A 42,445917.746,7659544.738,20008317,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 42,8,5,845217,A 41,SW,5,null,>300m,TRUE,within shouting distance,spacious,0,<3m,isolated,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,42
43,A 43,445553.357,7659177.066,19228051,Amis,,Toiwo & Shipahu,23.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 43,22,4,156652,A 44,SW,5,null,>300m,TRUE,within shouting distance,spacious,22,<3m,isolated,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,43
44,A 44,445837.283,7659163.711,19163535,Amis,,Toiwo & Shipahu,23.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 44,140,3,156652,A 43,SW,5; 6,null,>300m,null,adjacent,spacious,6,<1m,isolated,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,44
45,A 45,446071.044,7659143.844,18064364,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 45,2,6,953227,A 30,SE,5,null,within shouting distance,TRUE,within shouting distance,unfavourable,4,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,45
46,A 46,445902.574,7659165.844,18739435,Amis,,S.A. Pager,13.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 46,8,5,452955,A 47,SW,5,null,NA,null,<300m,spacious,22,<3m,marginal,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,46
47,A 47,445570.141,7659765.859,18736737,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 47,196,2,452955,A 46,NE,5; 6; 8; 9; 10,null,NA,TRUE,within shouting distance,spacious,25,>15m,central,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,47
48,A 48,445966.473,7659604.550,18664883,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 48,3,6,847512,A 47,S,5,null,NA,TRUE,<300m,unfavourable,19,<1m,central,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,48
49,A 49,445656.288,7659996.530,18386636,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 49,2,6,122751,A 50,NE,1,null,NA,null,adjacent,± vertical rock,2,>15m,marginal,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,49
50,A 50,445232.196,7659687.737,18442349,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 50,10,5,122751,A 49,N; E,3; 5; 7; 8; 10; 11,null,NA,null,<300m,spacious,23,>15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,50
51,A 51,445974.877,7658207.518,16916867,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 51,168,3,605999,A 52,NE,5,null,NA,TRUE,within shouting distance,spacious,19,>15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,51
52,A 52,445902.394,7658725.465,16885264,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 52,18,5,605999,A 51,W,5; 11,null,NA,null,<300m,unfavourable,11,<1m,marginal,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,,52
53,A 53,444896.576,7658241.681,14629145,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 53,116,3,2564792,D 2,W,5,null,NA,null,within shouting distance,spacious,8,NA,marginal,NA,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,53
54,A 54,444177.009,7659639.224,15209385,Amis,,Shipahu,24.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 54,47,4,391581,A 55,SE,5,null,>300m,null,adjacent,spacious,19,NA,marginal,NA,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,54
55,A 55,444517.967,7659097.979,15259821,Amis,,Shipahu,24.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 55,9,5,391581,A 54,SW,5; 6,null,>300m,null,adjacent,unfavourable,9,NA,marginal,NA,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,,55
56,A 56,445183.350,7658624.731,16280172,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 56,136,3,1821724,A 57,SW,1; 7; 12,null,>300m,TRUE,within shouting distance,unfavourable,13,>15m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,56
57,A 57,445032.344,7658715.871,16203242,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 57,249,2,507622,A 59,S,1; 5; 6; 8; 12,null,>300m,null,adjacent,± vertical rock,11,>15m,central,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,57
58,A 58,445899.889,7658694.467,16178287,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 58,47,4,299984,A 59,NE; NW,1; 5; 12,null,>300m,TRUE,within shouting distance,spacious,4,<3m,marginal,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,,58
59,A 59,445351.714,7658694.665,16166093,Amis,,Toiwo & Shipahu,06.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 59,11,5,299984,A 58,E,1,null,>300m,TRUE,within shouting distance,± vertical rock,0,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,,59
60,A 60,445287.483,7658139.938,1664432,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 60,160,3,379558,A 61,SW,5; 6; 9; 11,null,>300m,TRUE,within shouting distance,spacious,10,<15m,marginal,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,60
61,A 61,445427.249,7658692.095,16604772,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 61,16,5,379558,A 60,N; SW,5,null,>300m,null,adjacent,unfavourable,5,<1m,central,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,61
