ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
11,A 11,448708.815,7658874.588,1788.9833,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 11,20,4,88.3146,A 20,SE,5,,>300m,True,within shouting distance,spacious,23,<3m,isolated,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
12,A 12,448239.545,7658678.340,1770.4658,Amis,,Gebhardt,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 12,186,3,181.5717,A 13,N; SW,1; 4; 5; 7; 8; 9; 10; 11; 12,,>300m,True,within shouting distance,spacious,22,<15m,marginal,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
13,A 13,448904.224,7658244.137,1756.1315,Amis,,Toiwo & Shipahu,15.07.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 13,32,4,37.6302,A 8,S,1,,>300m,,adjacent,± vertical rock,3,>15m,central,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
14,A 14,448008.870,7657451.739,1719.9328,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 14,20,4,33.7199,A 15,NE,5; 6,,>300m,,within shouting distance,unfavourable,10,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
15,A 15,448105.791,7657818.465,1718.7034,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 15,5,5,33.7199,A 14,S,1,,>300m,,adjacent,± vertical rock,0,NA,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
16,A 16,448626.647,7657928.302,1714.557,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 16,25,4,48.9106,A 15,SE,1; 6,,>300m,True,within shouting distance,unfavourable,10,<3m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
17,A 17,448667.040,7657419.084,1723.1372,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 17,40,4,256.9919,A 16,SW,5; 6,,>300m,True,within shouting distance,spacious,25,<15m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
18,A 18,448914.771,7657794.885,1784.9667,Amis,,,14.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 18,2,6,304.9407,A 19,SW,6,,>300m,,adjacent,± vertical rock,4,<1m,isolated,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
19,A 19,448977.449,7656987.401,1817.3589,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 19,11,5,304.9407,A 18,SW,10,,>300m,,adjacent,spacious,14,<1m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
20,A 20,448389.105,7658373.803,1791.8049,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 20,2,6,88.3146,A 11,SW,5,,>300m,True,within shouting distance,spacious,15,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
21,A 21,448381.352,7658833.914,1798.3182,Amis,,Shipahu,08.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 21,3,6,213.5034,A 23,S,5,,>300m,True,<300m,unfavourable,2,<1m,marginal,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
22,A 22,448583.504,7658434.745,1749.073,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 22,209,2,174.4522,A 25,N; SE; SW,1; 3; 5; 12,,<300m,,adjacent,unfavourable,11,<15m,central,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,If good rain; then water on site
23,A 23,448607.311,7658333.987,1775.5784,Amis,,Toiwo & Shipahu,28.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 23,4,6,57.5576,A 6,NE,1,,<300m,,adjacent,± vertical rock,1,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
24,A 24,448302.881,7658962.881,1739.2993,Amis,,Toiwo & Shipahu,28.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 24,12,5,102.1343,A 25,NW,1,,<300m,,within shouting distance,± vertical rock,0,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
25,A 25,448135.840,7658643.135,1743.9066,Amis,,Toiwo & Shipahu,04.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 25,54,4,102.1343,A 24,E,1,,<300m,True,within shouting distance,± vertical rock,1,>15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
26,A 26,447401.773,7658088.794,1805.9937,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 26,8,5,409.8927,A 27,SW,5; 6; 9; 10,,<300m,,>300m,± vertical rock,8,<3m,isolated,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
27,A 27,447269.899,7659286.265,1892.486,Amis,,Toiwo & Shipahu,04.05.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 27,6,5,409.8927,A 26,SE,1; 5; 6,,>300m,True,within shouting distance,unfavourable,4,<15m,isolated,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
28,A 28,446447.893,7659598.118,1805.9054,Amis,,Toiwo & Shipahu,12.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 28,26,4,107.4507,A 29,SW,5; 10,,<300m,True,within shouting distance,unfavourable,4,<15m,isolated,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
29,A 29,446007.128,7659719.610,1798.7778,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 29,86,3,99.8572,A 45,SE,3; 5; 6; 7; 10,,<300m,True,within shouting distance,unfavourable,11,<3m,marginal,magnificent,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,
30,A 30,446909.610,7659261.884,1785.6353,Amis,,Camby´s Rock,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 30,47,4,95.3227,A 45,N,5,,within shouting distance,True,within shouting distance,unfavourable,7,<15m,central,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
31,A 31,446775.238,7658226.780,1781.7977,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 31,113,3,303.4665,A 32,E,6; 12,,>300m,,<300m,spacious,23,<3m,isolated,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
32,A 32,446960.437,7659833.296,1848.0486,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 32,26,4,63.6806,A 33,S,3; 4; 5; 7; 12,,within shouting distance,,adjacent,unfavourable,9,>15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
33,A 33,446476.262,7659513.919,1843.0955,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 33,4,6,63.6806,A 32,SW,5,,<300m,,adjacent,unfavourable,3,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
34,A 34,446426.427,7659458.436,1888.2946,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 34,309,2,84.8758,A 35,S,1; 5; 6; 7; 8; 9; 10; 11; 12,,>300m,,adjacent,spacious,8,<15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
35,A 35,446500.745,7659049.257,1885.4842,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 35,95,3,84.8758,A 34,SE,1; 5; 6; 7; 9; 10; 12,,>300m,True,within shouting distance,unfavourable,14,>15m,marginal,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
36,A 36,446230.152,7659866.239,1905.8858,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 36,7,5,137.7191,A 37,E,8,,>300m,,adjacent,unfavourable,12,>15m,isolated,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
37,A 37,446032.935,7659866.724,1951.0182,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 37,28,4,31.8709,A 38,SE,1; 7; 8; 12,,>300m,,within shouting distance,± vertical rock,3,>15m,isolated,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
38,A 38,446563.379,7659886.768,1947.6826,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 38,513,1,31.8709,A 37,N,5; 6; 7; 8; 12,,>300m,True,within shouting distance,spacious,6,>15m,marginal,poor,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,
39,A 39,446115.232,7659946.567,1958.5046,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 39,10,5,71.2741,A 38,E,5,,>300m,True,within shouting distance,unfavourable,4,<15m,marginal,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
40,A 40,446534.941,7659824.580,1976.6327,Amis,,Stadtherr & Co?,02.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 40,74,3,57.8163,A 41,E,4; 5; 11,,>300m,,adjacent,spacious,9,<15m,isolated,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
41,A 41,445741.132,7659239.154,1983.9992,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 41,24,4,57.8163,A 40,E; SW,1; 5; 10; 11; 12,,>300m,,adjacent,unfavourable,2,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
42,A 42,445917.746,7659544.738,2000.8317,Amis,,Toiwo,09.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 42,8,5,84.5217,A 41,SW,5,,>300m,True,within shouting distance,spacious,0,<3m,isolated,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
43,A 43,445553.357,7659177.066,1922.8051,Amis,,Toiwo & Shipahu,23.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 43,22,4,156.652,A 44,SW,5,,>300m,True,within shouting distance,spacious,22,<3m,isolated,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
44,A 44,445837.283,7659163.711,1916.3535,Amis,,Toiwo & Shipahu,23.09.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 44,140,3,156.652,A 43,SW,5; 6,,>300m,,adjacent,spacious,6,<1m,isolated,poor,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
45,A 45,446071.044,7659143.844,1806.4364,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 45,2,6,95.3227,A 30,SE,5,,within shouting distance,True,within shouting distance,unfavourable,4,<1m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
46,A 46,445902.574,7659165.844,1873.9435,Amis,,S.A. Pager,13.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 46,8,5,45.2955,A 47,SW,5,,NA,,<300m,spacious,22,<3m,marginal,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
47,A 47,445570.141,7659765.859,1873.6737,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 47,196,2,45.2955,A 46,NE,5; 6; 8; 9; 10,,NA,True,within shouting distance,spacious,25,>15m,central,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
48,A 48,445966.473,7659604.550,1866.4883,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 48,3,6,84.7512,A 47,S,5,,NA,True,<300m,unfavourable,19,<1m,central,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
49,A 49,445656.288,7659996.530,1838.6636,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 49,2,6,122.751,A 50,NE,1,,NA,,adjacent,± vertical rock,2,>15m,marginal,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
50,A 50,445232.196,7659687.737,1844.2349,Amis,,Camby,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 50,10,5,122.751,A 49,N; E,3; 5; 7; 8; 10; 11,,NA,,<300m,spacious,23,>15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
51,A 51,445974.877,7658207.518,1691.6867,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 51,168,3,60.5999,A 52,NE,5,,NA,True,within shouting distance,spacious,19,>15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
52,A 52,445902.394,7658725.465,1688.5264,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 52,18,5,60.5999,A 51,W,5; 11,,NA,,<300m,unfavourable,11,<1m,marginal,magnificent,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
53,A 53,444896.576,7658241.681,1462.9145,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 53,116,3,256.4792,D 2,W,5,,NA,,within shouting distance,spacious,8,NA,marginal,NA,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
54,A 54,444177.009,7659639.224,1520.9385,Amis,,Shipahu,24.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 54,47,4,39.1581,A 55,SE,5,,>300m,,adjacent,spacious,19,NA,marginal,NA,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
55,A 55,444517.967,7659097.979,1525.9821,Amis,,Shipahu,24.10.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 55,9,5,39.1581,A 54,SW,5; 6,,>300m,,adjacent,unfavourable,9,NA,marginal,NA,NA,NA,masses,NA,NA,NA,NA,NA,NA,NA,NA,
56,A 56,445183.350,7658624.731,1628.0172,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 56,136,3,182.1724,A 57,SW,1; 7; 12,,>300m,True,within shouting distance,unfavourable,13,>15m,marginal,magnificent,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
57,A 57,445032.344,7658715.871,1620.3242,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 57,249,2,50.7622,A 59,S,1; 5; 6; 8; 12,,>300m,,adjacent,± vertical rock,11,>15m,central,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
58,A 58,445899.889,7658694.467,1617.8287,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 58,47,4,29.9984,A 59,NE; NW,1; 5; 12,,>300m,True,within shouting distance,spacious,4,<3m,marginal,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
59,A 59,445351.714,7658694.665,1616.6093,Amis,,Toiwo & Shipahu,06.11.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 59,11,5,29.9984,A 58,E,1,,>300m,True,within shouting distance,± vertical rock,0,<15m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
60,A 60,445287.483,7658139.938,1664.432,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 60,160,3,37.9558,A 61,SW,5; 6; 9; 11,,>300m,True,within shouting distance,spacious,10,<15m,marginal,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
61,A 61,445427.249,7658692.095,1660.4772,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 61,16,5,37.9558,A 60,N; SW,5,,>300m,,adjacent,unfavourable,5,<1m,central,poor,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
62,A 62,445682.338,7658350.452,1675.7962,Amis,,Toiwo & Shipahu,15.06.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 – Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 62,39,4,132.3767,A 63,NE,5; 6,,>300m,True,within shouting distance,unfavourable,18,<1m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
